,linear.weight,linear.bias
10,"[[0.6516459  0.8791621  0.35965896 0.43616953 0.8871689  0.19836868
  0.6725684  0.34535515 0.67693204 0.4340229  0.41808468 0.86048716
  0.7613431  0.2724016  0.91586304 0.31707633 0.82433116 0.8888893
  0.38476878 0.40667075 0.3252331  0.44116637 0.36769554 0.5686045
  0.6898673  0.67662114 0.40806362 0.4517523  0.7385581  0.83251524
  0.6124088  0.37688565 0.5726775  1.1674526  0.89307123 0.54884213
  0.43972182 0.37516433 0.662474   0.43153954 0.9651998  0.6954492
  0.90754664 0.5519441  0.58712053 0.5027111  0.7819373  0.9561391
  0.9043951  1.001396   0.4035669  0.85738397 0.822887   0.57418585
  0.8559905  0.7338356  1.0656853  0.97773415 0.40228024 0.8278838
  0.84597003 0.9388202  0.89635795 1.081171   0.8792853  0.8300319
  0.81230146 0.9518337 ]]",[-2.773119]
11,"[[0.63895005 0.87758535 0.35675207 0.4389621  0.88274467 0.17809927
  0.6611058  0.30310905 0.6884149  0.43514666 0.4206943  0.85558397
  0.7758674  0.22068976 0.9226992  0.3023122  0.8164251  0.8854733
  0.38493967 0.40939978 0.32404995 0.44261158 0.36770785 0.558766
  0.67863035 0.6614558  0.39953315 0.45643172 0.73758173 0.8238217
  0.6195292  0.375734   0.55277336 1.2215768  0.9147883  0.5293035
  0.44205195 0.37300432 0.6449081  0.4346574  0.9624562  0.69971186
  0.93286973 0.54710454 0.5700618  0.48261106 0.7872313  0.9545475
  0.90172625 1.0253549  0.4028939  0.8490791  0.8158659  0.5798468
  0.85894513 0.71454924 1.0803791  0.98546594 0.3991927  0.81951547
  0.8377848  0.93442756 0.89076966 1.1037579  0.8735384  0.8233324
  0.80204624 0.9514581 ]]",[-2.776223]
12,"[[0.6278857  0.87620676 0.3557782  0.4426094  0.8786515  0.16171972
  0.6516968  0.26701748 0.6996432  0.43745464 0.42405277 0.8511527
  0.78926694 0.17515312 0.9287081  0.29066348 0.8100713  0.88228595
  0.38630977 0.41300714 0.32420212 0.44510153 0.36895794 0.550521
  0.6689302  0.6487361  0.39316073 0.46166804 0.7375429  0.8165367
  0.6271445  0.3763784  0.5356832  1.2698268  0.9350949  0.5129625
  0.4449572  0.3727431  0.62984395 0.4384934  0.9601266  0.70450807
  0.95557463 0.54350847 0.5553847  0.4657628  0.7924842  0.9531033
  0.8992512  1.0467752  0.40387604 0.8420231  0.8099271  0.5860983
  0.8618686  0.6973114  1.0933094  0.99251246 0.39782175 0.8124194
  0.8309774  0.93082654 0.8860708  1.1239091  0.8687193  0.8175756
  0.7933613  0.9509813 ]]",[-2.7845998]
13,"[[0.6161298  0.8748124  0.35441443 0.4461652  0.87405515 0.1434813
  0.64106977 0.2278634  0.7111586  0.43951362 0.427251   0.84631765
  0.8037365  0.12652412 0.9350254  0.2774789  0.80330604 0.8788734
  0.38750076 0.41619542 0.32386556 0.44749066 0.36977175 0.54115975
  0.6583913  0.6348777  0.38594136 0.4668336  0.7368451  0.8084881
  0.63466233 0.37673643 0.5174721  1.3212154  0.9561133  0.4947807
  0.44748428 0.3719174  0.6134239  0.44230366 0.9574038  0.7096306
  0.9798426  0.53921276 0.5396308  0.44705492 0.7983382  0.95208675
  0.8963767  1.0696023  0.40447283 0.8345963  0.8032997  0.59239876
  0.86484987 0.6790669  1.1073097  1.0000956  0.3959283  0.8046254
  0.82354087 0.92692477 0.88101846 1.1455091  0.86328983 0.81127816
  0.78395766 0.95057255]]",[-2.79048]
14,"[[0.605222   0.8735292  0.35309437 0.44996008 0.8702499  0.12710753
  0.6316032  0.19147812 0.72158307 0.44171748 0.4306988  0.8422922
  0.8169161  0.08118687 0.9409347  0.26563135 0.7968002  0.8759261
  0.38879982 0.41973665 0.32414514 0.44992515 0.37113866 0.5333916
  0.64901334 0.6218356  0.37937424 0.47205475 0.73654187 0.80088806
  0.64205366 0.37702498 0.5004093  1.3694327  0.9764928  0.47824904
  0.45047304 0.3713477  0.59859306 0.44638687 0.9550015  0.71388215
  1.0025318  0.5355871  0.52568924 0.43035868 0.80377704 0.95083207
  0.8941798  1.0909477  0.40498137 0.82753825 0.7973486  0.5982596
  0.8679002  0.6620509  1.1201665  1.0070412  0.39443067 0.797314
  0.81657624 0.92312855 0.87613463 1.1652831  0.8584739  0.80555785
  0.77522    0.9502912 ]]",[-2.791166]
15,"[[0.59345096 0.8722293  0.35167423 0.4531499  0.86605847 0.10957165
  0.62160397 0.15384412 0.73211974 0.44350561 0.43371806 0.8377296
  0.8301425  0.03435265 0.9470528  0.25283915 0.7900207  0.8726212
  0.390013   0.42297435 0.3238408  0.45205787 0.37186274 0.52480114
  0.63928014 0.6088506  0.372433   0.47693592 0.7363128  0.7928983
  0.649764   0.37715605 0.4825381  1.419088   0.99639666 0.4608175
  0.45319203 0.37059194 0.5827041  0.45031613 0.95237213 0.718412
  1.0255977  0.5314824  0.5110921  0.41307175 0.809282   0.9493578
  0.8915393  1.1130108  0.40548372 0.82023966 0.7911548  0.6039323
  0.8707808  0.64422214 1.1336422  1.0144033  0.39255163 0.7900635
  0.8094966  0.91937226 0.87134993 1.1864048  0.85320014 0.799709
  0.76627815 0.9499131 ]]",[-2.7956393]
16,"[[ 0.58183724  0.87056154  0.34967217  0.45603496  0.8618239   0.09236618
   0.61158055  0.1176429   0.74203765  0.44486433  0.43641615  0.8330375
   0.842841   -0.00982368  0.9525811   0.24023809  0.78370273  0.8696787
   0.39038125  0.42565364  0.32303625  0.45370576  0.37247628  0.5162589
   0.6296718   0.59622514  0.36561406  0.48122182  0.73625326  0.7855998
   0.65697545  0.3769881   0.46594205  1.4664394   1.0158323   0.44355717
   0.4551076   0.3691318   0.56749326  0.45321208  0.94970363  0.7225521
   1.0473483   0.52684253  0.49677157  0.39597046  0.814928    0.9479712
   0.88913864  1.1335446   0.4057731   0.8131576   0.7851045   0.60913825
   0.8731971   0.62698644  1.1464453   1.0211982   0.390802    0.78277594
   0.80239594  0.91577435  0.8663339   1.2057925   0.8484293   0.7939479
   0.7575895   0.9496335 ]]",[-2.7968054]
17,"[[ 0.57051307  0.8690304   0.34811538  0.45909747  0.85761315  0.07505301
   0.60167396  0.08023135  0.7524671   0.4467266   0.43924624  0.82862085
   0.8559188  -0.05261662  0.95912427  0.22807689  0.7774291   0.8667394
   0.39160237  0.42879182  0.32263744  0.45593745  0.37314224  0.50750214
   0.6200634   0.58345836  0.358703    0.4860327   0.7363627   0.7777361
   0.66423094  0.37713024  0.44810787  1.5158064   1.035412    0.4256811
   0.45731252  0.3680028   0.55150765  0.45700723  0.94699776  0.7272402
   1.0702529   0.52234554  0.48227355  0.37882403  0.8204132   0.94651115
   0.886627    1.1554372   0.40612122  0.80595076  0.7788045   0.6146783
   0.8760398   0.60918343  1.1596901   1.0279686   0.38919115  0.77564514
   0.7954972   0.9121047   0.8615994   1.2267168   0.84313977  0.7880171
   0.7487103   0.9491764 ]]",[-2.792678]
18,"[[ 0.55920017  0.86731905  0.34687462  0.46251354  0.853557    0.05857139
   0.5920012   0.04442663  0.7622766   0.4484871   0.4420909   0.8245663
   0.8682101  -0.09407775  0.9652062   0.2162637   0.7714898   0.86404914
   0.3930741   0.43200693  0.3224756   0.45805016  0.37391844  0.4993862
   0.610781    0.5708988   0.35277689  0.49105582  0.73610073  0.77049965
   0.671875    0.3775174   0.43168476  1.5635734   1.0549185   0.40892825
   0.45958313  0.3670241   0.5360458   0.46057466  0.94447863  0.73168725
   1.0928714   0.51858735  0.46879506  0.36286384  0.82568115  0.9451286
   0.8841989   1.1761302   0.40650666  0.7990667   0.7730226   0.6202918
   0.87829673  0.5918189   1.1725031   1.0348054   0.38801867  0.76856005
   0.78898335  0.9085977   0.8571542   1.2467364   0.8379994   0.7825875
   0.74001837  0.94874966]]",[-2.795746]
19,"[[ 0.54863894  0.86591685  0.34592894  0.46629518  0.8495667   0.04258417
   0.5825886   0.0090287   0.7721111   0.45055267  0.44533366  0.82044274
   0.8805863  -0.13486925  0.9712952   0.20493537  0.765359    0.86129856
   0.3947664   0.43558466  0.32297936  0.46034843  0.3751351   0.49150765
   0.6016343   0.55874044  0.34680972  0.49635246  0.7364229   0.76328385
   0.67913437  0.37820593  0.41528058  1.6111491   1.0743798   0.3924021
   0.46241194  0.3664726   0.52090305  0.46448845  0.9419765   0.73626393
   1.1151285   0.51474744  0.45565858  0.34718594  0.8310747   0.9436025
   0.88184273  1.196904    0.40732807  0.79218704  0.7674225   0.62613654
   0.8809616   0.57459724  1.1851885   1.0415106   0.38687965  0.76147676
   0.78243876  0.90479183  0.85263574  1.2665061   0.83300495  0.7772198
   0.7314197   0.94832915]]",[-2.794965]
