,linear.weight,linear.bias
17,"[[ 0.43071046  0.50864494  0.36568987  0.50793827  0.54609406  0.36060452
   0.2744534   0.4961101   0.5151637   0.48864162  0.07463855 -0.00134263
   0.66052765  0.67449963  0.64587635  0.57398975 -0.48689446 -1.2610053
  -0.12686306  1.1825913   0.9353549   0.9671839 ]]",[-2.7173193]
18,"[[ 4.1725582e-01  4.9800509e-01  3.5039350e-01  5.0257629e-01
   5.4453146e-01  3.4602395e-01  2.5256199e-01  4.8938397e-01
   5.1156092e-01  4.8253715e-01  5.0665628e-02 -1.0843754e-03
   6.4461344e-01  6.5931255e-01  6.2788469e-01  5.5027747e-01
  -5.5227482e-01 -1.3689680e+00 -1.7100647e-01  1.1923965e+00
   9.3362683e-01  9.6661490e-01]]",[-2.7143319]
19,"[[ 4.0620258e-01  4.8909190e-01  3.3759066e-01  4.9793562e-01
   5.4150808e-01  3.3395702e-01  2.3135878e-01  4.8411524e-01
   5.0869894e-01  4.7474611e-01  2.7414542e-02 -6.7269010e-04
   6.2947255e-01  6.4570206e-01  6.1201262e-01  5.2764302e-01
  -6.1479318e-01 -1.4737803e+00 -2.1106370e-01  1.2014899e+00
   9.3140113e-01  9.6668190e-01]]",[-2.7114787]
20,"[[ 0.39397243  0.4787287   0.32160115  0.49285474  0.5390422   0.3194693
   0.20749936  0.47792193  0.50656414  0.46551552  0.01225069 -0.00361401
   0.6142855   0.6318091   0.59598655  0.50422734 -0.6772816  -1.5757234
  -0.2522104   1.2094424   0.92957205  0.9672932 ]]",[-2.7020955]
21,"[[ 3.8055345e-01  4.6870568e-01  3.0572385e-01  4.8764995e-01
   5.3632659e-01  3.0480590e-01  1.8438025e-01  4.7112733e-01
   5.0414115e-01  4.5838049e-01  1.5424632e-03 -3.4783657e-03
   5.9836566e-01  6.1788756e-01  5.8015978e-01  4.8079872e-01
  -7.3871350e-01 -1.6773746e+00 -2.9313490e-01  1.2173132e+00
   9.2794561e-01  9.6758378e-01]]",[-2.696119]
22,"[[ 3.6789200e-01  4.5847312e-01  2.9296017e-01  4.8227817e-01
   5.3465247e-01  2.8973863e-01  1.6132982e-01  4.6502647e-01
   5.0081271e-01  4.5027265e-01 -7.5641344e-04 -3.9100936e-03
   5.8217567e-01  6.0413295e-01  5.6348789e-01  4.5720735e-01
  -8.0036438e-01 -1.7798388e+00 -3.3392546e-01  1.2249936e+00
   9.2597198e-01  9.6801811e-01]]",[-2.690486]
23,"[[ 0.35639766  0.44899955  0.27935243  0.47757536  0.53330123  0.27549422
   0.13778171  0.45918557  0.5000993   0.44010496 -0.00189039 -0.00329425
   0.5659076   0.5909868   0.54801023  0.43409345 -0.8591897  -1.8810742
  -0.37177074  1.2318714   0.9244059   0.9670588 ]]",[-2.683412]
24,"[[ 3.43123019e-01  4.36241835e-01  2.63857216e-01  4.73348916e-01
   5.32892108e-01  2.59411454e-01  1.15370154e-01  4.52725261e-01
   4.98063654e-01  4.32890773e-01 -1.54604192e-03 -4.27669659e-03
   5.51118672e-01  5.78027725e-01  5.32193840e-01  4.11138058e-01
  -9.17815328e-01 -1.97725737e+00 -4.10693288e-01  1.23926353e+00
   9.21999335e-01  9.68176782e-01]]",[-2.6820486]
25,"[[ 3.3164167e-01  4.2671460e-01  2.4914981e-01  4.6769965e-01
   5.3268939e-01  2.4459265e-01  9.4714604e-02  4.4806391e-01
   4.9543869e-01  4.2197555e-01 -6.9019268e-04 -4.4945213e-03
   5.3578871e-01  5.6485689e-01  5.1756376e-01  3.8954636e-01
  -9.7560722e-01 -2.0714798e+00 -4.4768694e-01  1.2472236e+00
   9.1942167e-01  9.6865135e-01]]",[-2.6762273]
26,"[[ 0.32026613  0.41683757  0.2355535   0.46219775  0.53105503  0.23042284
   0.07164198  0.44479707  0.49312818  0.4149836  -0.00263933 -0.00394449
   0.5211962   0.5522268   0.5032807   0.3671083  -1.0322466  -2.1667001
  -0.48466814  1.2539512   0.9178495   0.9690386 ]]",[-2.6665819]
27,"[[ 0.30667284  0.40657213  0.22200769  0.45854053  0.5310762   0.21599078
   0.04965636  0.43979934  0.49023905  0.40561712 -0.00293256 -0.00727976
   0.5058793   0.5404146   0.48899916  0.34509736 -1.0871542  -2.2567446
  -0.52048373  1.2599095   0.9156146   0.9698266 ]]",[-2.6576138]
28,"[[ 2.9334354e-01  3.9355555e-01  2.0639944e-01  4.5267987e-01
   5.2909178e-01  2.0192952e-01  2.6938658e-02  4.3263602e-01
   4.8803204e-01  3.9489144e-01 -1.8249219e-03 -8.3202142e-03
   4.9071372e-01  5.2816713e-01  4.7382575e-01  3.2175085e-01
  -1.1433455e+00 -2.3486814e+00 -5.5885649e-01  1.2662395e+00
   9.1359538e-01  9.7111791e-01]]",[-2.651082]
29,"[[ 0.2808878   0.38438255  0.19110858  0.44616598  0.5277648   0.18779679
   0.00481231  0.42697424  0.48563075  0.38628685 -0.00274533 -0.00718045
   0.47665104  0.51629156  0.46069643  0.29920024 -1.1964097  -2.438227
  -0.5944406   1.2719107   0.91210324  0.9727726 ]]",[-2.6476338]
30,"[[ 0.26706395  0.37293485  0.1754311   0.44053492  0.5263577   0.17331722
  -0.0090431   0.42086923  0.48311013  0.3764098  -0.00407308 -0.00860865
   0.46202913  0.50475466  0.44583777  0.2775532  -1.2480539  -2.5260856
  -0.62819546  1.2774471   0.9094908   0.97311753]]",[-2.645258]
31,"[[ 0.25463045  0.36210465  0.1608475   0.43721408  0.5257199   0.1575052
  -0.01879457  0.41451254  0.4811445   0.36824027 -0.00713018 -0.00830692
   0.4485692   0.4929878   0.43221182  0.25539246 -1.2991558  -2.6125169
  -0.6615941   1.2830261   0.90736204  0.9734941 ]]",[-2.6388009]
32,"[[ 0.24165955  0.3512893   0.14694153  0.43325534  0.52449197  0.1453148
  -0.02359498  0.40859973  0.4787195   0.35974208 -0.00627937 -0.00927285
   0.4355666   0.4818312   0.41841906  0.23373602 -1.3489704  -2.695157
  -0.6960233   1.2872348   0.9056866   0.9738782 ]]",[-2.6350462]
33,"[[ 2.2816657e-01  3.3965194e-01  1.3285665e-01  4.2764193e-01
   5.2325433e-01  1.3006738e-01 -3.1557355e-02  4.0191475e-01
   4.7621685e-01  3.5040581e-01 -2.1367408e-03 -1.1742056e-02
   4.2265221e-01  4.7132251e-01  4.0385950e-01  2.1172529e-01
  -1.3989820e+00 -2.7790301e+00 -7.2984862e-01  1.2911223e+00
   9.0331167e-01  9.7494107e-01]]",[-2.62877]
