,linear.weight,linear.bias
19,"[[-4.0309437e-02  8.4263477e-03 -5.5680767e-02  2.6629621e-01
   4.7220838e-01 -8.7401330e-02 -6.1470455e-01  2.1044303e-01
   4.1404089e-01  6.4680539e-02 -1.8447274e-01 -2.7010798e-01
   2.3403083e-05  1.3329330e-01 -1.0202686e-04 -1.2812513e-01
  -2.9854908e+00 -5.4684515e+00 -1.7901061e+00  1.3082732e+00
   8.6418492e-01  9.7861582e-01]]",[-2.6366918]
20,"[[-4.88879122e-02  3.20763118e-03 -6.68887049e-02  2.58869410e-01
   4.72973585e-01 -9.96572375e-02 -6.54846668e-01  2.02464834e-01
   4.15468037e-01  5.04986495e-02 -1.98205352e-01 -3.08198422e-01
  -6.81279926e-06  1.13764316e-01  3.48709291e-05 -1.42929643e-01
  -3.08748627e+00 -5.63893795e+00 -1.85544920e+00  1.30129635e+00
   8.61950696e-01  9.76388276e-01]]",[-2.6341882]
21,"[[-5.9557401e-02  2.7358634e-03 -7.8096837e-02  2.5164872e-01
   4.7417286e-01 -1.1173606e-01 -6.9254345e-01  1.9464523e-01
   4.1725039e-01  3.7289005e-02 -2.1064578e-01 -3.4756505e-01
  -7.1506089e-05  9.5616363e-02  5.4886796e-06 -1.5678822e-01
  -3.1844521e+00 -5.8010607e+00 -1.9174880e+00  1.2947172e+00
   8.5933989e-01  9.7429502e-01]]",[-2.6310809]
22,"[[-7.1379855e-02  2.2771398e-03 -8.9111619e-02  2.4469818e-01
   4.7569498e-01 -1.2340450e-01 -7.2803515e-01  1.8706970e-01
   4.1927198e-01  2.4991669e-02 -2.2203696e-01 -3.8784698e-01
   3.5394660e-05  7.8641459e-02 -3.9550090e-05 -1.6961682e-01
  -3.2767842e+00 -5.9554696e+00 -1.9764298e+00  1.2885357e+00
   8.5628897e-01  9.7251159e-01]]",[-2.6271152]
23,"[[-8.3827801e-02  2.0542485e-03 -9.9894874e-02  2.3797756e-01
   4.7738203e-01 -1.3461019e-01 -7.6162028e-01  1.7971602e-01
   4.2138308e-01  1.3461976e-02 -2.3251228e-01 -4.2881364e-01
   3.2804426e-05  6.2726162e-02 -3.6086123e-05 -1.8146475e-01
  -3.3648181e+00 -6.1027246e+00 -2.0325015e+00  1.2827291e+00
   8.5290605e-01  9.7106791e-01]]",[-2.622268]
24,"[[-9.6545748e-02  7.5502839e-04 -1.1042564e-01  2.3145053e-01
   4.7912142e-01 -1.4533173e-01 -7.9353416e-01  1.7256334e-01
   4.2347884e-01  2.5806511e-03 -2.4217761e-01 -4.7030458e-01
   6.4180356e-05  4.7774579e-02  4.7573169e-05 -1.9237676e-01
  -3.4488533e+00 -6.2433133e+00 -2.0858998e+00  1.2772789e+00
   8.4925848e-01  9.6998727e-01]]",[-2.6166756]
25,"[[-1.09284006e-01  1.48059444e-05 -1.20670050e-01  2.25112513e-01
   4.80849981e-01 -1.55544892e-01 -8.23939145e-01  1.65612936e-01
   4.25503761e-01 -1.19469967e-03 -2.51067102e-01 -5.12239099e-01
   2.41259131e-05  3.37491147e-02  9.43589621e-05 -2.02429146e-01
  -3.52918696e+00 -6.37766552e+00 -2.13680410e+00  1.27217484e+00
   8.45435977e-01  9.69261229e-01]]",[-2.6106293]
26,"[[-1.2170761e-01 -6.1156251e-04 -1.3045433e-01  2.1909723e-01
   4.8265594e-01 -1.6507576e-01 -8.5280478e-01  1.5899989e-01
   4.2754495e-01 -2.3394339e-03 -2.5919995e-01 -5.5458444e-01
   1.1795552e-05  2.0733600e-02 -8.6132968e-05 -2.1173514e-01
  -3.6062570e+00 -6.5060744e+00 -2.1853659e+00  1.2674322e+00
   8.4154201e-01  9.6888709e-01]]",[-2.6046886]
27,"[[-1.3368697e-01 -1.1386951e-03 -1.3974275e-01  2.1343663e-01
   4.8454860e-01 -1.7389601e-01 -8.8021928e-01  1.5275005e-01
   4.2961770e-01 -2.4473188e-03 -2.6671758e-01 -5.9713513e-01
   1.1228444e-05  8.6607412e-03 -8.4464948e-05 -2.2034375e-01
  -3.6802626e+00 -6.6289387e+00 -2.2317414e+00  1.2630413e+00
   8.3762068e-01  9.6884859e-01]]",[-2.5984745]
28,"[[-1.4493035e-01 -1.7290383e-03 -1.4889705e-01  2.0824462e-01
   4.8651424e-01 -1.8205076e-01 -9.0616983e-01  1.4684708e-01
   4.3151742e-01 -2.4345345e-03 -2.7364749e-01 -6.3974941e-01
   4.5985493e-05  8.5128667e-03 -7.0887501e-05 -2.2816108e-01
  -3.7514062e+00 -6.7466969e+00 -2.2759571e+00  1.2588369e+00
   8.3368629e-01  9.6931773e-01]]",[-2.5918868]
