,linear.weight,linear.bias
10,"[[ 0.34641102  0.8274576   0.3113741   0.5266319   0.77481955 -0.20579973
   0.39790747 -0.58871496  0.93206996  0.47151795  0.49143326  0.7470722
   1.0895641  -0.9038332   1.0796758  -0.0123179   0.6567975   0.81327254
   0.4133178   0.48530194  0.3185416   0.48580897  0.3826156   0.35360676
   0.43076658  0.3329283   0.23053166  0.59353155  0.74790967  0.6271388
   0.80701244  0.37860268  0.10962451  2.5035274   1.427554    0.07772485
   0.49662587  0.3401508   0.2288124   0.52628464  0.89006776  0.7998163
   1.5216825   0.42447412  0.22135404  0.0638591   0.9260233   0.9110396
   0.8420488   1.5758908   0.4063507   0.6681207   0.6676137   0.72265655
   0.92289174  0.24101031  1.4228238   1.1637757   0.36589524  0.62679154
   0.661989    0.83488065  0.77080715  1.6447012   0.7401054   0.6819042
   0.55989087  0.9377651 ]]",[-2.804972]
11,"[[ 0.31271154  0.81833535  0.3037015   0.5350095   0.76208293 -0.2448609
   0.36685482 -0.6859406   0.95369923  0.4721171   0.49649426  0.7348496
   1.1186057  -1.0305268   1.0971471  -0.03524252  0.64018697  0.80575985
   0.4156218   0.4915184   0.31664696  0.48707378  0.38181236  0.3319013
   0.40284294  0.2969717   0.2116275   0.60914797  0.7520784   0.6046863
   0.8268123   0.37743977  0.05989458  2.6512947   1.4834139   0.02401551
   0.49933663  0.3337639   0.17906038  0.53483796  0.8805332   0.8076224
   1.5864917   0.4063177   0.18582521  0.02091773  0.9413623   0.9041278
   0.8358218   1.6357738   0.40467387  0.6480047   0.6524494   0.73668075
   0.9278961   0.18357     1.4619857   1.1823592   0.36365232  0.60451454
   0.64302856  0.822876    0.75771105  1.7086349   0.72390187  0.6674054
   0.5303752   0.9352066 ]]",[-2.7974207]
12,"[[ 0.28029785  0.80896235  0.2957953   0.5427048   0.7497663  -0.28223646
   0.33680132 -0.77890134  0.9732133   0.4719341   0.5006978   0.7231667
   1.1451315  -1.1521468   1.113767   -0.05693576  0.62455773  0.79868555
   0.41760203  0.49696538  0.31453994  0.48751518  0.3804813   0.3114106
   0.37606034  0.2627938   0.19347669  0.6241417   0.7566779   0.58308905
   0.84545046  0.37598076  0.01232409  2.7933543   1.5364606  -0.0207894
   0.50119025  0.32706264  0.1307688   0.5426598   0.87109137  0.81433743
   1.6481856   0.38799718  0.15253568 -0.01278361  0.95597166  0.89707357
   0.8299523   1.6926222   0.4025812   0.62878215  0.63823265  0.7496878
   0.9322713   0.1276968   1.4995857   1.1999115   0.36169133  0.58304363
   0.62504977  0.81120765  0.7452664   1.7704332   0.7081459   0.65381277
   0.5016055   0.9325724 ]]",[-2.7891915]
13,"[[ 0.24901645  0.7993899   0.28755906  0.5496631   0.7378237  -0.31816924
   0.30764636 -0.8679492   0.99080324  0.47093552  0.50401163  0.71195966
   1.1694263  -1.2690974   1.129604   -0.07761706  0.6097949   0.7919963
   0.41917223  0.5015954   0.31211445  0.48710287  0.37855646  0.29194334
   0.35028318  0.23022045  0.17592247  0.6384522   0.76159364  0.56226367
   0.8629432   0.37413427 -0.02353093  2.9300382   1.5868331  -0.05738271
   0.5021643   0.31996316  0.08379729  0.5496965   0.86173165  0.8200161
   1.7069416   0.36947644  0.12115721 -0.03686744  0.9699392   0.8898901
   0.8243999   1.7466433   0.39999905  0.6103634   0.62485605  0.7616761
   0.9360367   0.07327157  1.5357299   1.2165136   0.35983437  0.5622965
   0.60794735  0.79984426  0.7334025   1.8302228   0.692787    0.6410226
   0.47350645  0.9298628 ]]",[-2.7810347]
14,"[[ 0.21880731  0.78967726  0.27910936  0.55602485  0.726234   -0.3526785
   0.27940953 -0.95331573  1.0067233   0.46928012  0.50660115  0.7012021
   1.191774   -1.3816768   1.1447388  -0.09730217  0.59583473  0.7856657
   0.4204532   0.5055669   0.30949017  0.48599875  0.37618214  0.27343476
   0.3254532   0.19915095  0.15899572  0.6522071   0.7668113   0.54215956
   0.8794481   0.37201953 -0.0534819   3.0617652   1.6347703  -0.09264903
   0.50242037  0.3125894   0.03808458  0.55609643  0.8524497   0.82482016
   1.7630194   0.35084796  0.09153273 -0.05891991  0.98336595  0.88259643
   0.8191455   1.7981267   0.39705217  0.5926874   0.6122559   0.7728017
   0.93925905  0.02020643  1.5705351   1.232262    0.35812435  0.5422304
   0.5916537   0.78876406  0.7220727   1.8881606   0.67780167  0.6289735
   0.44604716  0.9270958 ]]",[-2.7724152]
15,"[[ 0.18960656  0.7798629   0.27051097  0.5618782   0.71497416 -0.3858149
   0.25205302 -1.0352095   1.0211561   0.4670744   0.5085765   0.6908654
   1.2123778  -1.4901556   1.1592268  -0.11603153  0.5826131   0.77966774
   0.4215119   0.5089816   0.30673245  0.48431143  0.37344712  0.2558286
   0.30150846  0.16948858  0.14268538  0.6654841   0.7723055   0.5227287
   0.89507335  0.36970368 -0.08184159  3.1888726   1.680463   -0.1266586
   0.50206625  0.30501163 -0.00423867  0.5619518   0.8432422   0.8288506
   1.8166292   0.33216897  0.06352407 -0.07909934  0.99631184  0.8752055
   0.8141682   1.8472675   0.3938132   0.5756974   0.60036755  0.78317076
   0.94199353 -0.02298138  1.6040956   1.2472305   0.35657033  0.5228016
   0.57610273  0.7779465   0.7112319   1.944372    0.66316766  0.6176036
   0.41919464  0.9242812 ]]",[-2.763091]
16,"[[ 0.1613162   0.7699612   0.26172975  0.5672157   0.7040127  -0.41772693
   0.22550866 -1.1138489   1.0341985   0.4643315   0.50994855  0.6809079
   1.2313643  -1.5948418   1.1731017  -0.13392997  0.57005113  0.77396524
   0.42231572  0.5118408   0.30379945  0.48205784  0.37033522  0.23902811
   0.278361    0.14113572  0.12689626  0.6782647   0.778018    0.5039113
   0.90985173  0.36715338 -0.10875163  3.3116379   1.7240455  -0.15952392
   0.50111645  0.2972025  -0.03373972  0.56725734  0.83410347  0.8321392
   1.8679712   0.31342572  0.03697003 -0.09759726  1.008791    0.8677241
   0.80943793  1.8942103   0.3902589   0.5593261   0.58910954  0.79280645
   0.9442708  -0.05961922  1.6364963   1.2614777   0.35509858  0.50395244
   0.56121916  0.7673677   0.7008322   1.9989638   0.6488522   0.6068347
   0.3929022   0.9214209 ]]",[-2.7534165]
17,"[[ 0.13388437  0.7600037   0.25282115  0.57211214  0.6933312  -0.44845662
   0.19973977 -1.1894126   1.0459973   0.46114248  0.51081055  0.6713053
   1.248897   -1.6959611   1.1864109  -0.1510311   0.5580955   0.7685363
   0.42292264  0.51423293  0.30074728  0.47933096  0.36692196  0.22298428
   0.25596097  0.1140266   0.11162069  0.69061613  0.7839335   0.48566788
   0.9238748   0.36442587 -0.13429606  3.430345    1.7656741  -0.1913062
   0.499663    0.28922218 -0.06231469  0.5720918   0.82503074  0.83477384
   1.9172463   0.29466277  0.01176225 -0.11453889  1.0208545   0.8601625
   0.80493754  1.9391143   0.3864525   0.54352474  0.5784273   0.8017974
   0.9461371  -0.09517097  1.6678168   1.2750669   0.3537198   0.48564675
   0.5469482   0.7570109   0.69083637  2.052045    0.6348362   0.5966147
   0.36714175  0.9185236 ]]",[-2.7431803]
18,"[[ 0.10724895  0.7500113   0.24379478  0.5765966   0.6829068  -0.47808066
   0.17469841 -1.2620846   1.056671    0.4575481   0.5112052   0.66202885
   1.2651054  -1.793728    1.199186   -0.16739886  0.5466922   0.76335615
   0.42334384  0.5161934   0.2975824   0.47617388  0.36323404  0.20763245
   0.23424901  0.08807568  0.09681926  0.70255864  0.7900174   0.46795684
   0.93719256  0.36153263 -0.15856706  3.5452242   1.8054694  -0.22207545
   0.49774832  0.28108454 -0.09002078  0.57648516  0.8160195   0.8368081
   1.9645859   0.2758959  -0.00562904 -0.13006511  1.0325311   0.85252774
   0.80064625  1.9821092   0.38241118  0.52824706  0.5682668   0.8101918
   0.94762105 -0.12969446  1.6981231   1.2880471   0.35240558  0.46784467
   0.53323627  0.7468582   0.6812067   2.1036994   0.62109745  0.58689123
   0.3418815   0.9155936 ]]",[-2.7324424]
19,"[[ 0.08133665  0.7400106   0.23461616  0.5806557   0.6727155  -0.50671446
   0.15032272 -1.332059    1.0663862   0.45354354  0.5111293   0.65304804
   1.2801365  -1.8883629   1.211446   -0.18313551  0.535786    0.75839734
   0.42354763  0.51771235  0.29426542  0.47258425  0.35925314  0.1928866
   0.2131544   0.06318476  0.08241569  0.7140747   0.7962102   0.45073256
   0.9498219   0.35844094 -0.18166791  3.6564724   1.8435194  -0.25191966
   0.49537143  0.2727605  -0.11692114  0.5804264   0.8070646   0.8382706
   2.0100942   0.25711843 -0.01462748 -0.14437908  1.0438323   0.8448292
   0.79654145  2.0233033   0.37810868  0.5134449   0.55857354  0.8180032
   0.9487416  -0.16325162  1.7274735   1.3004619   0.35107777  0.45050257
   0.5200291   0.73689204  0.6719047   2.154001    0.6076106   0.57761276
   0.31708255  0.9126324 ]]",[-2.7215154]
20,"[[ 0.05611428  0.7300266   0.22534437  0.58436143  0.6627437  -0.53437144
   0.12659003 -1.3994697   1.0752774   0.44920966  0.5106675   0.6443475
   1.294128   -1.9800323   1.2232295  -0.19824842  0.525342    0.75364554
   0.42359444  0.51887083  0.29085663  0.4686445   0.35505298  0.17872177
   0.19264409  0.03929621  0.06841961  0.7252305   0.8025053   0.43396735
   0.9618434   0.35521197 -0.20365663  3.764317    1.8799562  -0.28087485
   0.4926145   0.26431152 -0.1430496   0.5839908   0.79816353  0.83923477
   2.0539107   0.23837629 -0.02271918 -0.1575716   1.0548029   0.83707565
   0.79261255  2.062824    0.37360862  0.4990855   0.54931265  0.82531285
   0.94953704 -0.19588561  1.7559297   1.3123595   0.3497617   0.43359616
   0.5072903   0.72709996  0.6629041   2.203034    0.5943627   0.5687459
   0.29272586  0.90964717]]",[-2.7101376]
